Model,MAE,RMSE,R2
XGBoost,0.006177637966720673,0.008951961100842381,0.6085833708015691
Random Forest,0.0072604074528349,0.0098445225723623,0.5266392787274325
Linear Regression,0.0085656507681492,0.0109835347653968,0.4094704579697527
Persistence,0.0093130422139291,0.0143936864515012,-0.014148251963705
